,zn,E_HFB,E_PNP,E_PNPAMP
438,"[30, 50]",669.93297558,670.75863039,673.58494192
439,"[58, 106]",1266.84656387,1268.43515291,1271.13477791
440,"[68, 100]",1354.2446859,1355.58407225,1358.44554611
441,"[64, 142]",1400.63451764,1402.32058833,1404.75308479
442,"[40, 64]",865.98164848,867.18577826,870.14444038
443,"[24, 42]",535.12256112,536.01249623,538.66999945
444,"[46, 46]",761.29497576,762.31465027,763.65757651
445,"[78, 124]",1574.95639318,1575.81383225,1578.1347814
446,"[82, 102]",1421.96087779,1422.5932926,1425.56724027
447,"[96, 192]",1938.3153555,1940.29140087,1942.54338909
448,"[42, 80]",956.11073809,957.22573883,959.12006303
449,"[102, 152]",1855.5743185,1856.60372552,1859.77062599
450,"[48, 54]",864.99890427,865.98431055,868.10262702
451,"[16, 36]",356.12957948,357.80856445,360.80541842
452,"[46, 44]",730.84978646,731.95041648,733.4825825
453,"[98, 180]",1945.20538654,1946.95412991,1949.14533928
454,"[60, 108]",1300.82764926,1301.68468254,1304.63401392
455,"[54, 126]",1213.14609751,1214.17248679,1216.15176434
456,"[32, 42]",641.01549028,642.39105194,645.4437714
